sample,behavior,segments,full_prevalence,isolated_prevalence,prevalence_delta_full_minus_isolated,agreement,kappa,context_sensitivity,local_recoverability,context_only_share_of_full_positive,isolated_only_share_of_isolated_positive,isolated_precision_if_full_reference,n_prompt_clusters,context_sensitivity_ci_lo,context_sensitivity_ci_hi,local_recoverability_ci_lo,local_recoverability_ci_hi,kappa_ci_lo,kappa_ci_hi,prevalence_delta_full_minus_isolated_ci_lo,prevalence_delta_full_minus_isolated_ci_hi
all_paired_parsed,Question_and_Answering,4634869.0,0.09361429632639023,0.10412397847706159,-0.010509682150671357,0.9714535621179369,0.8398456510427121,0.028546437882063118,0.9036645232662657,0.09633547673373435,0.18754623384535052,0.8124537661546495,3488,0.027951504892069653,0.029130765533608667,0.9014147578615168,0.9059116678603614,0.8376266069854162,0.8419825635382188,-0.010879059557127492,-0.010139576264663748
all_paired_parsed,Perspective_Shift,4634869.0,0.1493379856043396,0.17697911203099806,-0.027641126426658447,0.936406185374387,0.7674455059214583,0.06359381462561293,0.8796264458320451,0.12037355416795491,0.25775624028527017,0.7422437597147298,3488,0.06285449642762216,0.06424619399234549,0.8778783481884583,0.8817124057673722,0.7652524265725998,0.7700857139684484,-0.02823432309853276,-0.02700526627581401
all_paired_parsed,Conflict_of_Perspectives,4634869.0,0.06711063462635082,0.08905580718678349,-0.02194517256043267,0.9640980144206881,0.7510493418357089,0.03590198557931195,0.896016383270803,0.10398361672919701,0.32478038191500186,0.6752196180849981,3488,0.035260537018829495,0.0365620523549845,0.8929913770554836,0.8983674343235787,0.7476364844742786,0.7554382259317636,-0.02255291892814294,-0.02135846396608361
all_paired_parsed,Reconciliation,4634869.0,0.04403166518837965,0.04464182267071626,-0.0006101574823366082,0.9704198759447139,0.6509397804336468,0.029580124055286136,0.6710325802009987,0.3289674197990014,0.33813898863751696,0.661861011362483,3488,0.028927449271394946,0.03051886520207901,0.664413002091743,0.6764934399395722,0.6442037993689615,0.6564976352393583,-0.0009473227220193118,-0.0002487866048186167
all_paired_parsed,verification,4634869.0,0.16901642743300835,0.16580554919675183,0.0032108782362565147,0.9268087188656249,0.7374532252525235,0.0731912811343751,0.7739800783538792,0.22601992164612078,0.2110315464022163,0.7889684535977837,3488,0.07201761483222789,0.07428246814204882,0.7709454785366807,0.7770888145484818,0.7346756165306904,0.7404422128987675,0.00230728436939168,0.004152029301108283
all_paired_parsed,backtracking,4634869.0,0.03595139366398489,0.05327421335964404,-0.017322819695659145,0.9728076456961351,0.6815698724537806,0.0271923543038649,0.8627378023165096,0.13726219768349038,0.4177928794462962,0.5822071205537038,3488,0.026454775401656357,0.027833211559046323,0.8596030480292647,0.8658696645158654,0.6764331069281554,0.6871846114147171,-0.017813299897166335,-0.01679039592415887
all_paired_parsed,subgoal,4634869.0,0.05439312308503218,0.06440570380737838,-0.010012580722346204,0.9698509278255761,0.7303119023560298,0.030149072174423915,0.8148985541738561,0.18510144582614388,0.31178646084579514,0.6882135391542048,3488,0.029606231745963933,0.030639556830086106,0.8112799390285496,0.8188544971343485,0.7270771548513463,0.7339646831047414,-0.010422447446562687,-0.009587815434566632
all_paired_parsed,backward_chaining,4634869.0,0.0074931999156826225,0.011870885671202357,-0.0043776857555197345,0.992508094619287,0.6095156035630528,0.007491905380713025,0.792196947883674,0.20780305211632594,0.4999454743729553,0.5000545256270447,3488,0.007025381727641269,0.00799538097707397,0.7786150272764271,0.8028511333304226,0.5923967303399239,0.6234604067037235,-0.004761858443800731,-0.004022442606421972
all_paired_parsed,dialectical_family_micro,18539476.0,0.08852364543636508,0.10370018009138986,-0.015176534655024776,0.9605944094644314,0.7733539266477225,0.03940559053556854,0.8631492424362441,0.13685075756375586,0.2631727598857141,0.7368272401142859,3488,0.038922605593701254,0.03983164929099729,0.8616955637408935,0.8644512692961457,0.7714088764693692,0.775104456116224,-0.015411984978079815,-0.01492315704711018
all_paired_parsed,control_family_micro,18539476.0,0.066713536024427,0.07383908800874416,-0.007125551984317149,0.9654938467516557,0.7359906373806083,0.03450615324834424,0.7947897616009909,0.2052102383990091,0.28190831140636025,0.7180916885936397,3488,0.03414871550029748,0.03487330704111831,0.7922551709962328,0.7970531583367738,0.7333955003849393,0.7385531292892809,-0.007451495794167671,-0.006781028527918535
