domain,motif,observed_transitions,expected_within_third_shuffle,lift,log2_lift,ci_lo,ci_hi,n_prompt_clusters
math,backtracking_to_subgoal,1609.0,843.8171863661037,1.9068111268616772,0.9311619491385005,1.7648242468250561,2.022691293672191,500
math,conflict_to_verification,7475.0,7118.681314865905,1.0500540295841023,0.07046356237485868,1.0251767676690622,1.07799335140939,500
math,perspective_to_reconciliation,3565.0,3927.0646552106264,0.9078027262092003,-0.13954927406849807,0.866988143464233,0.9528912688311872,500
math,question_to_subgoal,1750.0,3351.389236318977,0.5221715165267181,-0.9374043313890446,0.47304852925128754,0.5731182354646623,500
math,reconciliation_to_verification,9696.0,7526.580132312273,1.2882344742965288,0.365395205345296,1.2547338801132693,1.3248253474534593,500
math,verification_to_backtracking,6237.0,2984.174415813327,2.0900252903951415,1.0635203997735743,1.9886053840958722,2.181882945347091,500
code,backtracking_to_subgoal,1337.0,737.0512024283377,1.8139852368397626,0.8591627145077076,1.695297501752545,1.9298234143633504,175
code,conflict_to_verification,3775.0,3846.4114197643084,0.9814342741919468,-0.027036440005238062,0.9252777566137947,1.0319420991646981,175
code,perspective_to_reconciliation,1681.0,2127.3357758310462,0.7901902553880171,-0.33972803975131227,0.7363487005216212,0.8480861468771197,175
code,question_to_subgoal,686.0,967.375174623382,0.7091354192204417,-0.49586693853341385,0.6404143343445924,0.7747411533998523,175
code,reconciliation_to_verification,3417.0,2732.4936364680743,1.250506114413754,0.3225121116674913,1.2016448013273187,1.2998724973294997,175
code,verification_to_backtracking,4469.0,1690.4690899538973,2.643644906942297,1.4025284077846376,2.50053114035999,2.7997882632114717,175
gpqa,backtracking_to_subgoal,4305.0,2095.655294360814,2.0542500532336105,1.0386118041502888,1.9775473900648677,2.1325943858965575,500
gpqa,conflict_to_verification,17534.0,18895.4295695772,0.9279492660082633,-0.10788216418873287,0.9082358376888061,0.9488167424492875,500
gpqa,perspective_to_reconciliation,6130.0,9115.631908297662,0.672471207884125,-0.572455595444145,0.650937217392964,0.6942322301432775,500
gpqa,question_to_subgoal,3978.0,4902.390028138749,0.8114409455728874,-0.3014419916474279,0.7717946429002389,0.8553673044473984,500
gpqa,reconciliation_to_verification,12499.0,11060.183535976565,1.130089745739142,0.17643734838517675,1.1044297849212015,1.1605128059814211,500
gpqa,verification_to_backtracking,21191.0,9179.450677828536,2.3085259394860524,1.2069719431551555,2.2493771496204973,2.363256739365374,500
planning,backtracking_to_subgoal,624.0,360.958975816813,1.7287283093264332,0.7897111497280429,1.561768757986965,1.9110303100011716,500
planning,conflict_to_verification,8639.0,8701.00139559028,0.9928742230036072,-0.0103171257157679,0.9643509895799965,1.0188615867567004,500
planning,perspective_to_reconciliation,5546.0,5653.5197024484605,0.9809818116664747,-0.027701707129735957,0.8734702446697804,1.1202701734161824,500
planning,question_to_subgoal,1514.0,3151.8881695336536,0.48034699156982086,-1.0578511428839235,0.4444512347651815,0.5147169940563117,500
planning,reconciliation_to_verification,8654.0,8761.008321597792,0.9877858440866911,-0.01772980121885639,0.9661978874534388,1.008161869051489,500
planning,verification_to_backtracking,4842.0,2637.0082427646303,1.836171734876211,0.876700998548836,1.768793758885044,1.8988521225888269,500
moral,backtracking_to_subgoal,380.0,1000.8728233878555,0.3796686163520132,-1.3971873450864785,0.34251487104975953,0.4142184620640703,500
moral,conflict_to_verification,692.0,863.4584497462545,0.8014282565691017,-0.3193547180192568,0.7337338287840712,0.8626238344559434,500
moral,perspective_to_reconciliation,2791.0,2992.762623029703,0.9325831519422514,-0.10069572871901546,0.8992057247016446,0.9663266252449478,500
moral,question_to_subgoal,1871.0,3114.9808830485663,0.6006457407754271,-0.7354137507329683,0.5634523145449669,0.635148591969583,500
moral,reconciliation_to_verification,1126.0,896.301690287494,1.2562734313697757,0.3291505049528392,1.1687775630817003,1.342049882850868,500
moral,verification_to_backtracking,629.0,544.6871147965381,1.154791407604632,0.20763227814175886,1.0673625485509124,1.257555874427929,500
idea,backtracking_to_subgoal,3620.0,2812.4310686100353,1.2871426576115457,0.3641719603363717,1.2334455608804897,1.3395801115843307,500
idea,conflict_to_verification,1823.0,5195.395243003004,0.3508876446801924,-1.5109189458718029,0.33043221960560515,0.37084990502471527,500
idea,perspective_to_reconciliation,2165.0,2962.2373108054276,0.7308664947614679,-0.452320197514029,0.6937680614138011,0.7643704473739809,500
idea,question_to_subgoal,1116.0,1945.4930371675564,0.5736335102102368,-0.8017987898119731,0.5457290682194922,0.6032174116400596,500
idea,reconciliation_to_verification,1065.0,1470.910407379634,0.7240413791736325,-0.46585594478510023,0.6757386395465786,0.7651063330100542,500
idea,verification_to_backtracking,9287.0,5264.36857485639,1.76412419988153,0.8189521347307551,1.7211240346140724,1.8044525916899379,500
safety,backtracking_to_subgoal,205.0,314.51740842147063,0.6517922204334353,-0.6175159622172722,0.5726418685422843,0.7394893635287958,313
safety,conflict_to_verification,183.0,313.12003300629885,0.584440408500847,-0.7748721646439858,0.5043827156139274,0.6585033496541026,313
safety,perspective_to_reconciliation,760.0,564.3862255743536,1.3465955857207146,0.42931664064597713,1.254795000207722,1.4405080539642734,313
safety,question_to_subgoal,359.0,904.8138865271055,0.39676667803798726,-1.3336372270456032,0.3527123993426418,0.4387497429001446,313
safety,reconciliation_to_verification,214.0,267.6095711935485,0.799672444619795,-0.32251891900367713,0.6989032603588307,0.9039828631367262,313
safety,verification_to_backtracking,323.0,202.89184474539695,1.5919811878359293,0.6708232879065819,1.4159734381569726,1.7565187354229914,313
security,backtracking_to_subgoal,1533.0,723.7460553443552,2.1181462595614495,1.082802211926421,1.9998613633031206,2.2421725662320293,500
security,conflict_to_verification,4910.0,5278.679526014181,0.930156865140748,-0.10445405664861732,0.8939757243386892,0.9625634938434977,500
security,perspective_to_reconciliation,2591.0,3098.1957000274683,0.8362932012258065,-0.25791926048228536,0.797841453818922,0.8774772075661076,500
security,question_to_subgoal,964.0,1264.2289420272164,0.7625201163756042,-0.3911526964556194,0.7088718914221338,0.8186277365955761,500
security,reconciliation_to_verification,3712.0,3082.333865377857,1.2042822621179468,0.26817357351933846,1.1613570900736103,1.2489371500478925,500
security,verification_to_backtracking,7454.0,2791.123437098402,2.6706092252763405,1.4171688902371864,2.587998976089944,2.7516460123809847,500
pooled,backtracking_to_subgoal,13613.0,8889.050014735785,1.5314347402065582,0.614883889962421,1.4869585779086516,1.5727340217606938,3488
pooled,conflict_to_verification,45031.0,50212.17695156744,0.896814333372461,-0.15711875862613817,0.8833248443623045,0.9112208944076828,3488
pooled,perspective_to_reconciliation,25229.0,30441.133901224748,0.8287799029386665,-0.2709390753115633,0.8008528202591023,0.8640016426276539,3488
pooled,question_to_subgoal,12238.0,19602.559357385206,0.6243062335321724,-0.6796742240936706,0.6055506528989854,0.6423753100324097,3488
pooled,reconciliation_to_verification,40383.0,35797.421160593236,1.128098021889205,0.17389243081239866,1.1129234245999153,1.1423010144393506,3488
pooled,verification_to_backtracking,54432.0,25294.173397857117,2.1519580475640843,1.1056499528196262,2.118556319443095,2.186586455532601,3488
