task_type,dialectical_amount__mean,dialectical_amount__min,dialectical_amount__max,control_amount__mean,control_amount__min,control_amount__max,dialectical_centroid__mean,dialectical_centroid__min,dialectical_centroid__max,control_centroid__mean,control_centroid__min,control_centroid__max,coupling_excess__mean,coupling_excess__min,coupling_excess__max
math,0.257765648857956,0.20288358979097199,0.31249218667397216,0.33766498467404055,0.26017302653310037,0.3928899004135683,0.5554925003358345,0.5222660090263156,0.6383718909369238,0.5295428277134312,0.47309378709608796,0.6539010179646444,0.0662465909752122,0.06235578355725104,0.07290870369097896
code,0.24364370225348617,0.14264449601718174,0.3700414646174677,0.23068471062603826,0.17502875229880197,0.3034720218793979,0.501701825080109,0.48766247371430826,0.5307294900832266,0.5210663802349811,0.4889481142217825,0.5453806717744808,0.04499077607544374,0.03858712087777944,0.06347419557151102
gpqa,0.3726957431341748,0.26528409944062314,0.4307806243760342,0.28439507084332055,0.26773007396061305,0.3234858524837795,0.530628251302218,0.514175706412212,0.5607578517311366,0.5253470708920205,0.5017918557884197,0.5694575778631333,0.07346542606305428,0.06629091205301998,0.08755645688902434
planning,0.307602625199138,0.22520281776269113,0.34232741976330583,0.29585415585773345,0.271401601292722,0.33064436107746775,0.545460430469909,0.5109415779263481,0.6016696846271774,0.5490256819260884,0.5293504871848407,0.5799002607908129,0.03959077007036323,0.030933338511860867,0.05073985989983266
moral,0.42543214061759077,0.25627544793965984,0.5352241208052219,0.27943278143270417,0.13798401537071042,0.49315686672889986,0.5556886498471902,0.5112007097140197,0.6626136138287446,0.5515792724105357,0.4836277575966817,0.6525811611564344,0.06404154816973967,0.04550998637806338,0.07794789415742284
idea,0.5306472090253466,0.4805529950667961,0.6202327563684749,0.34837881689995726,0.26033832123702877,0.40076731359102796,0.4856308483011349,0.45639303966589045,0.5427126971577444,0.5016432619877265,0.4685676018196674,0.543757686251618,0.10084018265444071,0.0512021945402236,0.12689288862001158
safety,0.3247777809725742,0.2394276668260718,0.5136533656318183,0.25549858053991586,0.07026672677476006,0.4187052741426232,0.5834539488111027,0.5165023785982795,0.78495100473158,0.5244197040667143,0.43827361376369617,0.730792874829452,0.06610461247612275,0.016054012016209193,0.09512353271321992
security,0.32827906326877676,0.25420307789718677,0.3678346705549116,0.23112809313155921,0.1599980171728944,0.26821930290534945,0.5412111395143654,0.5015688532329997,0.5959637945486028,0.5199716068652286,0.46473139347018866,0.5857124523445368,0.059779678278106395,0.04535361478141461,0.066044632066049
