gen_model,profile,between_domain_distance,within_domain_split_distance,adaptive_differentiation,ci_lo,ci_hi,n_domain_pairs,n_split_distances
gemma4_e4b,amount,0.7655323171781092,0.09802898168971393,7.809244817019615,6.909122697965903,8.58784508308096,28,1600
gemma4_e4b,conditional_shape,0.024245806938274366,0.009206528984604757,2.633544843970885,2.0886033527929984,3.2410477178705874,28,1600
gemma4_31b,amount,0.9123642378308517,0.08293511600758893,11.000940033017695,9.398769756658542,12.750595155784715,28,1600
gemma4_31b,conditional_shape,0.018303752282365637,0.007809153121623764,2.343884413238362,1.994086459603334,2.783433717509972,28,1600
qwen35_4b,amount,0.8030813630659587,0.07044501287226451,11.400116634546695,8.88663337017934,13.847359111721213,28,1600
qwen35_4b,conditional_shape,0.00849461822255113,0.004629271027469597,1.8349796700484757,1.5795242297193732,2.073434473638874,28,1600
qwen35_9b,amount,0.7270880961478393,0.06564478871655055,11.076097743072236,9.030594895381832,13.306717009324496,28,1600
qwen35_9b,conditional_shape,0.008428422441076585,0.00452653370199428,1.8620036866981082,1.6339235648736514,2.1393102012888323,28,1600
qwen35_27b,amount,0.7181277125752092,0.05527837893088698,12.99111382179033,10.913071628499557,15.277386408462977,28,1600
qwen35_27b,conditional_shape,0.009247377583492075,0.0038372174130367974,2.4099175491267366,2.0941549611279147,2.777116044367672,28,1600
reasoner,amount,0.7257996464389697,0.08448952144867475,8.590410195184672,7.552960500379257,9.47087177198799,28,1600
reasoner,conditional_shape,0.014823918593837039,0.006162335738372393,2.4055681519475858,2.1650089945948374,2.635433464412842,28,1600
