gen_model,generated,completed,trackb,completion_rate,trackb_coverage
anchor,3488,3336,3486,0.9564220183486238,0.9994266055045872
gemma4_31b,3488,3484,3484,0.9988532110091743,0.9988532110091743
gemma4_e4b,3488,3488,3217,1.0,0.9223050458715596
qwen35_27b,3488,3352,3355,0.9610091743119266,0.9618692660550459
qwen35_4b,3488,2333,2347,0.6688646788990825,0.6728784403669725
qwen35_9b,3488,2915,2925,0.8357224770642202,0.8385894495412844
reasoner,3488,3281,3297,0.9406536697247706,0.9452408256880734
