gen_model,capability_z,domains
gemma4_31b,0.38707899540497753,6
gemma4_e4b,-0.36213893257812546,6
qwen35_27b,0.5939974680860509,6
qwen35_4b,0.3317745862845292,6
qwen35_9b,0.3422079210075492,6
reasoner,-1.2929200382049828,6
