context,domain,block,n,prevalence,auroc,average_precision,brier,counts_auroc,delta_auroc_over_counts
full,math,metadata+length,2768,0.5820086705202312,0.6318758728211995,0.6859930642903751,0.23043454171415445,0.6356228006783528,-0.0037469278571532483
full,math,+counts,2768,0.5820086705202312,0.6356228006783528,0.7156683654660001,0.23019551616690195,0.6356228006783528,0.0
full,math,+coarse_timing,2768,0.5820086705202312,0.6343799944954925,0.7167925924523566,0.23025492242971504,0.6356228006783528,-0.0012428061828602122
full,math,+within_family_motifs,2768,0.5820086705202312,0.6391578103648909,0.7156008860690805,0.22982467120487432,0.6356228006783528,0.003535009686538193
full,math,+cross_family_motifs,2768,0.5820086705202312,0.6401068818682276,0.7201840997731592,0.22981333527629116,0.6356228006783528,0.004484081189874867
full,math,+all_motifs,2768,0.5820086705202312,0.6419511064542763,0.718441567833685,0.2296903981607573,0.6356228006783528,0.006328305775923582
full,code,metadata+length,871,0.6016073478760046,0.7536023054755043,0.7682479105995722,0.19500627472229992,0.8560232747431639,-0.10242096926765953
full,code,+counts,871,0.6016073478760046,0.8560232747431639,0.898474625227936,0.14959833257127966,0.8560232747431639,0.0
full,code,+coarse_timing,871,0.6016073478760046,0.859306597443738,0.8980308950885381,0.14768139157625396,0.8560232747431639,0.003283322700574187
full,code,+within_family_motifs,871,0.6016073478760046,0.8601040543810634,0.8984179744206765,0.14658558280931766,0.8560232747431639,0.004080779637899545
full,code,+cross_family_motifs,871,0.6016073478760046,0.8504685746969664,0.8891118300581978,0.15162544903746264,0.8560232747431639,-0.005554700046197514
full,code,+all_motifs,871,0.6016073478760046,0.8554733044415601,0.8955666185731159,0.14987388482074812,0.8560232747431639,-0.0005499703016037527
full,gpqa,metadata+length,2620,0.6908396946564885,0.7153154627924425,0.8381253760084791,0.18866891431612404,0.7382450037514494,-0.0229295409590069
full,gpqa,+counts,2620,0.6908396946564885,0.7382450037514494,0.8515146355395151,0.18313172891532514,0.7382450037514494,0.0
full,gpqa,+coarse_timing,2620,0.6908396946564885,0.738053338789987,0.8508941127683295,0.1830418914393369,0.7382450037514494,-0.00019166496146238998
full,gpqa,+within_family_motifs,2620,0.6908396946564885,0.7366571175226793,0.8502393239568979,0.1835848532472243,0.7382450037514494,-0.0015878862287701523
