sample,behavior,segments,full_prevalence,isolated_prevalence,prevalence_delta_full_minus_isolated,agreement,kappa,context_sensitivity,local_recoverability,context_only_share_of_full_positive,isolated_only_share_of_isolated_positive,isolated_precision_if_full_reference,n_prompt_clusters,context_sensitivity_ci_lo,context_sensitivity_ci_hi,local_recoverability_ci_lo,local_recoverability_ci_hi,kappa_ci_lo,kappa_ci_hi,prevalence_delta_full_minus_isolated_ci_lo,prevalence_delta_full_minus_isolated_ci_hi
all_paired_parsed,backward_chaining,4634869.0,0.0074931999156826,0.0118708856712023,-0.0043776857555197,0.992508094619287,0.6095156035630528,0.007491905380713,0.792196947883674,0.2078030521163259,0.4999454743729553,0.5000545256270447,3488,0.0070253817276412,0.0079953809770739,0.7786150272764271,0.8028511333304226,0.5923967303399239,0.6234604067037235,-0.0047618584438007,-0.0040224426064219
all_paired_parsed,backtracking,4634869.0,0.0359513936639848,0.053274213359644,-0.0173228196956591,0.9728076456961352,0.6815698724537806,0.0271923543038649,0.8627378023165096,0.1372621976834903,0.4177928794462962,0.5822071205537038,3488,0.0264547754016563,0.0278332115590463,0.8596030480292647,0.8658696645158654,0.6764331069281554,0.6871846114147171,-0.0178132998971663,-0.0167903959241588
all_paired_parsed,Question_and_Answering,4634869.0,0.0936142963263902,0.1041239784770615,-0.0105096821506713,0.9714535621179368,0.8398456510427121,0.0285464378820631,0.9036645232662656,0.0963354767337343,0.1875462338453505,0.8124537661546495,3488,0.0279515048920696,0.0291307655336086,0.9014147578615168,0.9059116678603614,0.8376266069854162,0.8419825635382188,-0.0108790595571274,-0.0101395762646637
all_paired_parsed,Reconciliation,4634869.0,0.0440316651883796,0.0446418226707162,-0.0006101574823366,0.970419875944714,0.6509397804336468,0.0295801240552861,0.6710325802009987,0.3289674197990014,0.3381389886375169,0.661861011362483,3488,0.0289274492713949,0.030518865202079,0.664413002091743,0.6764934399395722,0.6442037993689615,0.6564976352393583,-0.0009473227220193,-0.0002487866048186
all_paired_parsed,subgoal,4634869.0,0.0543931230850321,0.0644057038073783,-0.0100125807223462,0.969850927825576,0.7303119023560298,0.0301490721744239,0.8148985541738561,0.1851014458261438,0.3117864608457951,0.6882135391542048,3488,0.0296062317459639,0.0306395568300861,0.8112799390285496,0.8188544971343485,0.7270771548513463,0.7339646831047414,-0.0104224474465626,-0.0095878154345666
all_paired_parsed,control_family_micro,18539476.0,0.066713536024427,0.0738390880087441,-0.0071255519843171,0.9654938467516556,0.7359906373806083,0.0345061532483442,0.7947897616009909,0.2052102383990091,0.2819083114063602,0.7180916885936397,3488,0.0341487155002974,0.0348733070411183,0.7922551709962328,0.7970531583367738,0.7333955003849393,0.7385531292892809,-0.0074514957941676,-0.0067810285279185
all_paired_parsed,Conflict_of_Perspectives,4634869.0,0.0671106346263508,0.0890558071867834,-0.0219451725604326,0.964098014420688,0.7510493418357089,0.0359019855793119,0.896016383270803,0.103983616729197,0.3247803819150018,0.6752196180849981,3488,0.0352605370188294,0.0365620523549845,0.8929913770554836,0.8983674343235787,0.7476364844742786,0.7554382259317636,-0.0225529189281429,-0.0213584639660836
all_paired_parsed,dialectical_family_micro,18539476.0,0.088523645436365,0.1037001800913898,-0.0151765346550247,0.9605944094644314,0.7733539266477225,0.0394055905355685,0.8631492424362441,0.1368507575637558,0.2631727598857141,0.7368272401142859,3488,0.0389226055937012,0.0398316492909972,0.8616955637408935,0.8644512692961457,0.7714088764693692,0.775104456116224,-0.0154119849780798,-0.0149231570471101
all_paired_parsed,Perspective_Shift,4634869.0,0.1493379856043396,0.176979112030998,-0.0276411264266584,0.936406185374387,0.7674455059214583,0.0635938146256129,0.8796264458320451,0.1203735541679549,0.2577562402852701,0.7422437597147298,3488,0.0628544964276221,0.0642461939923454,0.8778783481884583,0.8817124057673722,0.7652524265725998,0.7700857139684484,-0.0282343230985327,-0.027005266275814
all_paired_parsed,verification,4634869.0,0.1690164274330083,0.1658055491967518,0.0032108782362565,0.9268087188656248,0.7374532252525235,0.0731912811343751,0.7739800783538792,0.2260199216461207,0.2110315464022163,0.7889684535977837,3488,0.0720176148322278,0.0742824681420488,0.7709454785366807,0.7770888145484818,0.7346756165306904,0.7404422128987675,0.0023072843693916,0.0041520293011082
