gen_model,outcome_spearman
anchor,0.11615308157054388
gemma4_31b,0.1059917474447803
gemma4_e4b,0.11933356153665899
qwen35_27b,0.11293962072639738
qwen35_4b,0.038832752401394645
qwen35_9b,0.09348886588979162
reasoner,0.009916104598042288
