gen_model,family,profile,between_domain_distance,within_domain_prompt_variability,adaptive_differentiation,ci_low,ci_high,within_reps_per_domain
reasoner,dialectical,amount,0.1017277201108008,0.0101927339726273,9.980415498333508,8.192215284855788,11.849471083995477,1000
reasoner,sot_core,amount,0.09161072618592,0.0087821595581783,10.431457727343126,8.631404738409152,12.306247758451892,1000
reasoner,executive,amount,0.1130905137641856,0.0094901283227499,11.916647480211925,10.105733333800242,13.749600549422077,1000
gemma4_e4b,dialectical,amount,0.0884545716294642,0.012434043035739,7.113902644153631,5.459063887907658,8.701981093032419,1000
gemma4_e4b,sot_core,amount,0.0534444327557239,0.0098389518734247,5.43192338404244,4.289991488550762,6.614172249154853,1000
gemma4_e4b,executive,amount,0.1516473365105883,0.0137139026649056,11.057927142698675,9.201296922443657,13.087576268915004,1000
gemma4_31b,dialectical,amount,0.1362929975541031,0.011106865384012,12.271058740866028,9.944115121190832,14.73885383567274,1000
gemma4_31b,sot_core,amount,0.1188675471839715,0.0081030826054644,14.669423103722483,11.18824584528526,18.078150295458027,1000
gemma4_31b,executive,amount,0.1544406981357999,0.0106204917851079,14.541765227139171,11.37988999201412,17.72929591979062,1000
qwen35_4b,dialectical,amount,0.097400698232795,0.009159305571837,10.634070178014564,8.054853887113545,13.074685022766545,1000
qwen35_4b,sot_core,amount,0.0830942845303464,0.0070609679992901,11.768115156264702,8.21671786841463,14.97479931304004,1000
qwen35_4b,executive,amount,0.1249469259446618,0.0102250096292517,12.219736750879209,10.36367916306528,14.39175036715042,1000
qwen35_9b,dialectical,amount,0.0834118854695877,0.0087876805760823,9.49191140340396,7.712444216706378,11.721976533656887,1000
qwen35_9b,sot_core,amount,0.0699476340628264,0.0065133084680065,10.739186452846477,8.36457631527377,13.657769627942493,1000
qwen35_9b,executive,amount,0.1210794693351519,0.0086781073950991,13.952289804978694,11.91429315870145,16.215008196368817,1000
qwen35_27b,dialectical,amount,0.0809440393560386,0.0069781575099058,11.599629163018204,9.437648042586131,14.0841270508325,1000
qwen35_27b,sot_core,amount,0.0740502756707273,0.0052288868240749,14.161766770277616,11.029987935585392,17.585730920198973,1000
qwen35_27b,executive,amount,0.1226837566241364,0.0073304885165253,16.736095602300825,14.125883343883253,19.07791946193679,1000
