replicate,family_separation
0,0.01220949917207137
1,0.04213475597736115
2,-0.008153181958469456
3,-0.020713081914334096
4,0.0160840748123013
5,-0.039570135370429624
6,0.0025031067668460985
7,0.000479236262631709
8,-0.009308640990450825
9,-0.036172736996949305
10,-0.01665473262489154
11,0.0023217272948227313
12,0.008639209005112801
13,-0.045846193323154344
14,-0.03934281466734328
15,-0.011732553031188385
16,-0.026119867168272408
17,-0.0024959812537791795
18,-0.02207938534360157
19,-0.01251070911002395
20,0.00026031271131796846
21,-0.01880429043408422
22,-0.007597754156335408
23,-0.02442526997630966
24,-0.04597831638011977
25,-0.028886963973461615
26,0.011081458758634706
27,-0.03154461469237882
28,-0.008410180644419639
29,-0.03396115940763715
30,0.01019104886180805
31,-0.012746609594786712
32,-0.021165530267470062
33,-0.034343070561592706
34,-0.05352319879905146
35,-0.03026568159027413
36,0.01340691462173322
37,-0.0329646928538272
38,-0.006292831777850075
39,-0.02742887106852908
40,-0.03347305290389797
41,-0.018252314049447632
42,0.00029615816891621904
43,-0.021230770477288115
44,-0.0024373350625154847
45,-0.026058672701988063
46,-0.018839389873839957
47,-0.01989299992619489
48,0.005944169293225193
49,-0.021811697919557893
50,-0.01784076609146657
51,-0.026781914996991976
52,-0.040340631129087985
53,-0.03211543327461427
54,0.008542188379069823
55,0.022297362319344764
56,-0.043726782453825004
57,0.0016219679935109838
58,0.009640639276752593
59,0.0015803683382149408
60,-0.018573840282261646
61,0.003961518243629843
62,0.003708276462198526
63,-0.018062704046449045
64,-0.03666358255972778
65,-0.012679777597459356
66,-0.03172530729058263
67,0.0028053114649075686
68,-0.0032269938576005297
69,-0.006646520122619737
70,-0.015324906578151255
71,-0.03628442885733169
72,-0.025578332382800772
73,-0.0062822387745024855
74,-0.0009574083924429738
75,0.0089760860893291
76,-0.015099202089785838
77,-0.03541301555202756
78,-0.005085481109558081
79,0.007346909879631727
80,-0.04468673838627045
81,-0.02331702855107063
82,-0.039515973792150785
83,-0.009319419456265271
84,0.008795826102983614
85,-0.00282015838988494
86,-0.02826189177759194
87,0.009190718781729536
88,0.0038798048700164
89,-0.01620886240965347
90,0.0016190502722320949
91,-0.006807062258767843
92,0.011967422006398332
93,-0.035907855014441985
94,-0.010548155837846247
95,-0.017829411809949777
96,0.015238518594392458
97,-0.018098145189569044
98,0.0019341830227819004
99,0.003235608363405487
100,-0.03262164571133061
101,-0.046094957276594704
102,-0.021466348793260974
103,-0.02416785065597534
104,-0.04395124832488617
105,-0.017846286234072598
106,0.0014934817287815816
107,0.010972660318684331
