task_type,family,model_a,model_b,js_distance,correlation_distance,ci_low,ci_high,bootstrap_reps
gpqa,dialectical,gemma4_e4b,gemma4_31b,0.056274604805414866,0.15387360046380383,0.05138255030985938,0.08047754723008385,200
gpqa,executive,gemma4_e4b,gemma4_31b,0.16374197914696012,0.9888703756547549,0.1521355801234168,0.17907716689962783,200
gpqa,dialectical,gemma4_e4b,qwen35_4b,0.09407167958278537,0.29647274686879677,0.08687716430726075,0.11077990319141261,200
gpqa,executive,gemma4_e4b,qwen35_4b,0.1209442715795793,0.9266684837711284,0.11258599735483037,0.1333444855302519,200
gpqa,dialectical,gemma4_e4b,qwen35_9b,0.09171180285825113,0.29431277268659506,0.08209342149003761,0.10978989567210778,200
gpqa,executive,gemma4_e4b,qwen35_9b,0.1256688987112208,1.1350038865301002,0.11699037012078187,0.13883812313319213,200
gpqa,dialectical,gemma4_e4b,qwen35_27b,0.08945451344955281,0.260444209722563,0.08232887064287772,0.10603704670488709,200
gpqa,executive,gemma4_e4b,qwen35_27b,0.12536480166727262,0.9849761945104893,0.1164530513518785,0.13741722345488147,200
gpqa,dialectical,gemma4_31b,qwen35_4b,0.06977253154240867,0.17442953085490187,0.061607315034430316,0.0841527968195177,200
gpqa,executive,gemma4_31b,qwen35_4b,0.08640295661050448,0.08054833720603971,0.07558561020256188,0.10208503176492785,200
gpqa,dialectical,gemma4_31b,qwen35_9b,0.06689476161880603,0.17090647350983557,0.057737355461710535,0.08135442092036188,200
gpqa,executive,gemma4_31b,qwen35_9b,0.0879802289965258,0.06189823215486567,0.07715605527778278,0.10227501186935054,200
gpqa,dialectical,gemma4_31b,qwen35_27b,0.0647465183277924,0.148313641825931,0.05661375529817913,0.08079317144671685,200
gpqa,executive,gemma4_31b,qwen35_27b,0.07500620558260263,0.0491347095393323,0.06449089207012854,0.09221356784894767,200
gpqa,dialectical,qwen35_4b,qwen35_9b,0.011795026952159718,0.037816642132161515,0.011943164561706781,0.022053568852509087,200
gpqa,executive,qwen35_4b,qwen35_9b,0.012432749930345136,0.09751042645385233,0.01382591497675473,0.024097016510624895,200
gpqa,dialectical,qwen35_4b,qwen35_27b,0.014336885413728373,0.05352184688005057,0.01446787681846989,0.025496480501473774,200
gpqa,executive,qwen35_4b,qwen35_27b,0.021001992220906672,0.1362773678237672,0.018644448102437355,0.030350524483581002,200
gpqa,dialectical,qwen35_9b,qwen35_27b,0.00863092982030762,0.020767372642197968,0.011104230299621234,0.020034106149382055,200
gpqa,executive,qwen35_9b,qwen35_27b,0.018705600163279826,0.07302238168842334,0.017495016738352805,0.029538590672934607,200
planning,dialectical,reasoner,gemma4_e4b,0.06918021914935325,0.06400359123629396,0.05930108916618285,0.0933846993482452,200
planning,executive,reasoner,gemma4_e4b,0.06576922114241504,0.1873046715305403,0.056853194780931544,0.08309413138035335,200
planning,dialectical,reasoner,gemma4_31b,0.03332765069913994,0.05320856084407577,0.029785494219261723,0.05456242685742323,200
planning,executive,reasoner,gemma4_31b,0.07543203710087812,0.10188587972505248,0.06478480026753355,0.09573496344584846,200
planning,dialectical,reasoner,qwen35_4b,0.08873241439930366,0.3731680562224433,0.07759692794564053,0.10295926010804662,200
planning,executive,reasoner,qwen35_4b,0.07360015975488172,0.25646164135309757,0.06473357739576503,0.09136404386995534,200
planning,dialectical,reasoner,qwen35_9b,0.0796853856237761,0.31181447122898,0.06940827824052773,0.0944971144905902,200
planning,executive,reasoner,qwen35_9b,0.07792254738671893,0.3222617021176549,0.06629304028915596,0.09419670225830996,200
planning,dialectical,reasoner,qwen35_27b,0.06466125619139874,0.20094456105354552,0.05516052195826853,0.08028045774307546,200
planning,executive,reasoner,qwen35_27b,0.07052110937589576,0.2127907923777923,0.059302114785944,0.08814445509234167,200
planning,dialectical,gemma4_e4b,gemma4_31b,0.07881216807273127,0.13108331691541875,0.06531417149870916,0.10341360045506849,200
planning,executive,gemma4_e4b,gemma4_31b,0.12774169172339672,0.45399392589452103,0.12093858589298333,0.13972914229160072,200
planning,dialectical,gemma4_e4b,qwen35_4b,0.1499178281749206,0.6201160596036276,0.13641358222124428,0.1704929602719687,200
planning,executive,gemma4_e4b,qwen35_4b,0.11102160621473181,0.6510912127060766,0.1032193874244261,0.12194617079294298,200
planning,dialectical,gemma4_e4b,qwen35_9b,0.14048136017340093,0.5121297738131765,0.12566252981701245,0.16007218251929536,200
planning,executive,gemma4_e4b,qwen35_9b,0.1146943801552876,0.7102648348676026,0.10839593072939001,0.1254752308948155,200
planning,dialectical,gemma4_e4b,qwen35_27b,0.12652097180105548,0.3915262223172473,0.11225797209018955,0.14636359472530613,200
planning,executive,gemma4_e4b,qwen35_27b,0.11777942032746334,0.5951711808808591,0.11035096582314367,0.12929184744767105,200
planning,dialectical,gemma4_31b,qwen35_4b,0.08796338128390471,0.2973742444980476,0.07835190170196649,0.10451972704354107,200
planning,executive,gemma4_31b,qwen35_4b,0.0829172210322943,0.05792575014568202,0.07199361518697713,0.09846255090159138,200
planning,dialectical,gemma4_31b,qwen35_9b,0.07833142574447788,0.24683005525194845,0.06630802028008045,0.09252728820284742,200
planning,executive,gemma4_31b,qwen35_9b,0.08252300780054891,0.10071359470919128,0.07277941527912872,0.09861646404853547,200
planning,dialectical,gemma4_31b,qwen35_27b,0.06175754111039113,0.150593304998057,0.052474594421060596,0.082055720012958,200
planning,executive,gemma4_31b,qwen35_27b,0.05160011141361025,0.06298391148695814,0.044215462169809254,0.06586295428539582,200
planning,dialectical,qwen35_4b,qwen35_9b,0.0218341652873402,0.06152380506153765,0.019140757856923003,0.03285099866321361,200
planning,executive,qwen35_4b,qwen35_9b,0.0150940730605414,0.03359176400032304,0.014367149997379506,0.02675430480898927,200
planning,dialectical,qwen35_4b,qwen35_27b,0.039737203565431166,0.11942178922144875,0.035678970490900457,0.0519601489974847,200
planning,executive,qwen35_4b,qwen35_27b,0.045984105494991025,0.055730085744296276,0.03912704783147027,0.05666156186657512,200
planning,dialectical,qwen35_9b,qwen35_27b,0.031038864478044523,0.09799619830056694,0.027641393042219627,0.04293826684256648,200
