split,prefix,feature_set,feature_label,n,positive_rate,folds,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,recall_at_5pct_fpr,recall_at_5pct_fpr_ci_low,recall_at_5pct_fpr_ci_high,log_loss,brier,ece
prompt_disjoint,0.1,metadata,Metadata,1906,0.06453305351521511,5,0.9250304365073937,0.9081279665920633,0.9386327080407223,0.3498116528894605,0.2901760546742537,0.43324513081932076,0.35772357723577236,0.24560113519091847,0.4843810096153846,0.141334214267626,0.044319603568240704,0.010901781178279533
prompt_disjoint,0.1,length,Metadata + length,1906,0.06453305351521511,5,0.9422390325978414,0.9274676035619248,0.954944594001642,0.44340804182882404,0.3617228631545112,0.5369388518254066,0.5447154471544715,0.44243955125078394,0.6992481203007519,0.13806304532600658,0.04277520318191076,0.007879528195317618
prompt_disjoint,0.1,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9236009466095783,0.8956410201510218,0.9468137754896214,0.4227556076435495,0.34745458231561116,0.5160157653652052,0.5040650406504065,0.4191097913524384,0.6818458980044345,0.1543611842854906,0.04458496823376865,0.0111354071237422
prompt_disjoint,0.1,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9351622596427871,0.9070021987935432,0.9563217217259918,0.49451251246966343,0.40608418833442217,0.5841528014498636,0.6666666666666666,0.5555338541666667,0.7642395982783358,0.15051802046309376,0.042163983878092164,0.014585255545264485
prompt_disjoint,0.1,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.921865951693729,0.8929525316669846,0.9439423226276924,0.42392378203446784,0.3455704189946501,0.5082882675728043,0.5203252032520326,0.4247787610619469,0.6960460431654676,0.15545021680848037,0.04459844470959845,0.011953474974011051
random_trace,0.1,metadata,Metadata,1906,0.06453305351521511,5,0.9264120487531291,0.9076508548860246,0.9423895112460882,0.36528363181477935,0.29791133033349276,0.4439085123858887,0.3983739837398374,0.2782274247491639,0.5235298570736433,0.1419497860681861,0.0442972484391017,0.008463797645457917
random_trace,0.1,length,Metadata + length,1906,0.06453305351521511,5,0.9414935091583109,0.9276619386990129,0.9543500534791615,0.44719446929209794,0.3678348180842696,0.5380010147320339,0.5203252032520326,0.43964864158829675,0.6613073602907769,0.1366291133782149,0.04261621342267221,0.010789719962615393
random_trace,0.1,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9208377221181073,0.8941883694972709,0.9418400003435138,0.43928590545287177,0.35336934477693477,0.5318158301900475,0.5284552845528455,0.44093043415444627,0.6641249233855241,0.15569154428790966,0.04431578571750725,0.012027587744643447
random_trace,0.1,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9309193877132266,0.903689277617722,0.9539644184244643,0.48268364366135913,0.39298687193832404,0.5814315709424979,0.6585365853658537,0.5462168713639302,0.758655172413793,0.15512249303866465,0.042819014459851173,0.015358552129008947
random_trace,0.1,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.9191414853015608,0.8907052323680568,0.9427547360815055,0.4386031839984874,0.35367570546016786,0.5315040489007682,0.5284552845528455,0.4369747899159664,0.6517954192546583,0.1571389582205154,0.044422100778112796,0.012068426524222261
prompt_disjoint,0.25,metadata,Metadata,1906,0.06453305351521511,5,0.9250304365073937,0.9073601097285346,0.9395088589607393,0.3498116528894605,0.28808248595104446,0.42666625957323595,0.35772357723577236,0.24589444923784873,0.4741488895382817,0.141334214267626,0.044319603568240704,0.010901781178279533
prompt_disjoint,0.25,length,Metadata + length,1906,0.06453305351521511,5,0.9432102649686059,0.929466915308936,0.955604168698881,0.4468499011739355,0.3652975199671324,0.5333891463745822,0.5853658536585366,0.43964510151466324,0.7053702731092437,0.13765502500434132,0.0426505442321443,0.0070081851436293
prompt_disjoint,0.25,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9414570309472023,0.9273368763967635,0.9533664137811959,0.4225998749779842,0.34721084979079003,0.5114083158854705,0.5528455284552846,0.4444444444444444,0.669068898727172,0.1408703167231551,0.043774859355746217,0.011295664992349954
prompt_disjoint,0.25,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9160362775809474,0.8871864280103298,0.9405229145559099,0.3847434405616194,0.30930379735988656,0.4695609624487936,0.5365853658536586,0.3697023148882195,0.6641857506361323,0.16255982292803522,0.048462424805376735,0.02213173410881434
prompt_disjoint,0.25,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.939569283522336,0.9243046393071103,0.9534638011216644,0.42202853900398263,0.34784093758828827,0.5026145244741045,0.5447154471544715,0.43859649122807015,0.659036688051323,0.1414342171912751,0.04380716650405424,0.011854520434109112
random_trace,0.25,metadata,Metadata,1906,0.06453305351521511,5,0.9264120487531291,0.9088558846251562,0.9420880004730465,0.36528363181477935,0.3029332935292814,0.45272829809608756,0.3983739837398374,0.2676749981940331,0.5271424647500458,0.1419497860681861,0.0442972484391017,0.008463797645457917
random_trace,0.25,length,Metadata + length,1906,0.06453305351521511,5,0.9427406080005837,0.9284901863170645,0.9552432727200928,0.4522476358723637,0.3727256607239947,0.5416310156240853,0.5772357723577236,0.4433204950666436,0.6806813242538395,0.13610768701227421,0.04246790809546942,0.007292880724074721
random_trace,0.25,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9333269496463893,0.9193472596337714,0.9474837283729765,0.3975003783888834,0.3217424899760359,0.48271217314396164,0.4634146341463415,0.3571290143964563,0.5645161290322581,0.14552121902061343,0.045352939868590285,0.011781102846042892
