split,prefix,feature_set,feature_label,n,positive_rate,folds,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,recall_at_5pct_fpr,recall_at_5pct_fpr_ci_low,recall_at_5pct_fpr_ci_high,log_loss,brier,ece
prompt_disjoint,0.1,metadata,Metadata,21397,0.6678038977426742,5,0.7099746714980372,0.6993809757965717,0.7206156288799049,0.8423765577154985,0.8333562377936938,0.8515615889413832,0.2907131359787249,0.2734192962371808,0.3070648014212149,0.566030420954972,0.19525429668585126,0.02807544497248682
prompt_disjoint,0.1,length,Metadata + length,21397,0.6678038977426742,5,0.709809272004749,0.6990016711653501,0.7204159268804684,0.8423283212845712,0.8333812560452506,0.8510940942318647,0.2928826369934915,0.271833093895984,0.31078972629158425,0.566091676705213,0.19530276178564918,0.028121000934582505
prompt_disjoint,0.1,counts,Metadata + length + counts,21397,0.6678038977426742,5,0.7134360539113145,0.7028402905609954,0.7233512147145968,0.8459532711967439,0.8368884339148688,0.854559336266815,0.2937224438379173,0.2746075024957318,0.31355524717328676,0.5647436461354025,0.19497141042417004,0.035574711769197666
prompt_disjoint,0.1,temporal,Metadata + length + temporal bins,21397,0.6678038977426742,5,0.718121371898757,0.7076485289141963,0.7283807483993866,0.8481626673485633,0.8393910231923236,0.8564184020727917,0.2989712366155784,0.28142019562572695,0.32142882131861983,0.5624705215621231,0.19396950004755478,0.029939115582976402
prompt_disjoint,0.1,time_shuffled,Counts repeated across time,21397,0.6678038977426742,5,0.7134351284066792,0.7030388756500606,0.7236702360847819,0.8459532623226634,0.836995945458047,0.854164948229437,0.2937224438379173,0.27495270550150447,0.31438338410858213,0.5647437775969393,0.19497151609590982,0.035575149099873186
random_trace,0.1,metadata,Metadata,21397,0.6678038977426742,5,0.7132708070278332,0.7024716723788592,0.7234922599230875,0.8445296906807986,0.8351058310304448,0.8533146479785231,0.28861361886766046,0.27183803282018726,0.30702418507532375,0.5639811131582187,0.19440942628038546,0.03021486035274882
random_trace,0.1,length,Metadata + length,21397,0.6678038977426742,5,0.7131297118770168,0.7024661296553673,0.7233022971934796,0.8446420132898057,0.8357325924515907,0.8530820152573634,0.29022324865280985,0.272962703109312,0.30962720016990747,0.5640169718252424,0.19444634598044291,0.030127749018522828
random_trace,0.1,counts,Metadata + length + counts,21397,0.6678038977426742,5,0.7162806514827982,0.7061401062888883,0.7262985227454927,0.8476690555029929,0.8389189851305189,0.8559115817252309,0.29414234726013017,0.2753713388066676,0.3119724088944456,0.5629160400505466,0.19420924321402291,0.03527906783556285
random_trace,0.1,temporal,Metadata + length + temporal bins,21397,0.6678038977426742,5,0.71992951750529,0.7105540122471261,0.7299504836488463,0.8492808276674713,0.8410707723465196,0.8572185673596888,0.30463993281545243,0.2857630721886644,0.3222923161709116,0.5609806268492114,0.19337482314908014,0.029653071170011754
random_trace,0.1,time_shuffled,Counts repeated across time,21397,0.6678038977426742,5,0.7162800115061887,0.7064931749232966,0.7265739012843937,0.847668946235257,0.839280636113505,0.8565067269486017,0.29414234726013017,0.27497893667376055,0.313287939912999,0.5629162406537155,0.1942093733760062,0.035279290560211875
