split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_log_loss,delta_brier
prompt_disjoint,0.1,length,metadata,-0.00016539949328819858,-0.0003972286897252625,4.3862075721690075e-05,-4.823643092721763e-05,-0.00017418423454969856,0.00018458971128502416,6.125575024096275e-05,4.8465099797917466e-05
prompt_disjoint,0.1,counts,length,0.0036267819065655127,0.0022176877039111727,0.005033708975338238,0.003624949912172659,0.0026725731349715788,0.004473705555314597,-0.0013480305698104766,-0.0003313513614791319
prompt_disjoint,0.1,temporal,counts,0.004685317987442539,0.0026223789999102634,0.006818491499806001,0.002209396151819365,0.0010513470893788069,0.0033537747662623824,-0.002273124573279439,-0.0010019103766152615
prompt_disjoint,0.1,time_shuffled,counts,-9.255046352629748e-07,-2.5602745548830574e-06,6.209462023704086e-07,-8.87408047045568e-09,-1.1766261603957106e-06,1.9233400122609088e-06,1.3146153676757422e-07,1.0567173977515942e-07
prompt_disjoint,0.1,temporal,time_shuffled,0.004686243492077802,0.0025652328056184085,0.006861569982953261,0.0022094050258998355,0.0010202096000601734,0.0033714374586013367,-0.0022732560348162067,-0.0010020160483550367
random_trace,0.1,length,metadata,-0.0001410951508163949,-0.00034585573171237174,7.180389221055899e-05,0.00011232260900706503,-2.705861134910669e-06,0.00021933565547424815,3.585866702360274e-05,3.691970005745282e-05
random_trace,0.1,counts,length,0.0031509396057813888,0.0017410559634028573,0.004547793990830831,0.00302704221318717,0.0021027124896345756,0.0038997502354968403,-0.0011009317746957237,-0.00023710276641999983
random_trace,0.1,temporal,counts,0.0036488660224918146,0.0014559475877798905,0.005784095802436234,0.0016117721644783867,0.0005265181413398795,0.0027411637806076298,-0.0019354132013352787,-0.0008344200649427758
random_trace,0.1,time_shuffled,counts,-6.399766094844495e-07,-2.335655530294467e-06,1.1020877185241572e-06,-1.0926773585939742e-07,-9.7463172571699e-07,9.000400829545229e-07,2.0060316885395224e-07,1.3016198327497897e-07
random_trace,0.1,temporal,time_shuffled,0.003649505999101299,0.0014466381205575224,0.0057153112855019925,0.001611881432214246,0.0004423090504824895,0.002768486935712611,-0.0019356138045041327,-0.0008345502269260507
