domain,contrast,estimate,ci_low,ci_high,metric,bootstrap_reps
idea,DeltaTiming,0.0006742554393287525,-0.0022584707956118085,0.003763433730701298,R2,500
idea,DeltaCoupling,-0.000814521047547645,-0.0026375689998266974,0.0010873969530291571,R2,500
idea,DeltaMotifs,0.00018886437606902007,-0.0018008268911030162,0.0019851786416507774,R2,500
safety,DeltaDialectical|Metadata,-0.008622001903474175,-0.01606685615091022,-0.0017216691904334074,R2,500
safety,DeltaExecutive|Metadata,0.002008410935518956,-0.00764091134569059,0.01105290247214743,R2,500
safety,DeltaExecutive|Dialectical,0.0005184218143836627,-0.010145359093420899,0.010077379107857968,R2,500
safety,DeltaDialectical|Executive,-0.010111991024609468,-0.016608313068537314,-0.002806673642099291,R2,500
safety,DeltaTiming,0.010378054576171247,0.00046789472356000293,0.019388436858783116,R2,500
safety,DeltaCoupling,-0.0007108142789207239,-0.005860341336248201,0.0036783314808998065,R2,500
safety,DeltaMotifs,4.0566463427538224e-05,-0.01067768049020947,0.010392929787170824,R2,500
security,DeltaDialectical|Metadata,0.0018602613264678824,-0.004801460621232975,0.008676310569034108,AUROC,500
security,DeltaExecutive|Metadata,0.012614249662897703,0.0032195590348688464,0.021394856462105576,AUROC,500
security,DeltaExecutive|Dialectical,0.014203470540484542,0.005119317701942278,0.023540359769018155,AUROC,500
security,DeltaDialectical|Executive,0.0034494822040547213,-0.003141039571883461,0.010016546751572134,AUROC,500
security,DeltaTiming,-0.000622917522866917,-0.0049900311531318325,0.003429620451627269,AUROC,500
security,DeltaCoupling,0.0015882019285309301,-0.0011849641195968734,0.0043288727181182455,AUROC,500
security,DeltaMotifs,-0.0029162321981108796,-0.007234821777892336,0.001413843274309606,AUROC,500
