gen_model,family,profile,distance
reasoner,dialectical,amount,0.004023487220227858
reasoner,dialectical,amount,0.010211908330973032
reasoner,dialectical,amount,0.016527582056415382
reasoner,dialectical,amount,0.01712228116438196
reasoner,dialectical,amount,0.011612681605824451
reasoner,dialectical,amount,0.004150454212132265
reasoner,dialectical,amount,0.00883220758788976
reasoner,dialectical,amount,0.006116619539099282
reasoner,dialectical,amount,0.010958984015371554
reasoner,dialectical,amount,0.008517538369878726
reasoner,dialectical,amount,0.009671030190637947
reasoner,dialectical,amount,0.01209606825820023
reasoner,dialectical,amount,0.009926446808694657
reasoner,dialectical,amount,0.005616223644319606
reasoner,dialectical,amount,0.004546527743800549
reasoner,dialectical,amount,0.005733963742948158
reasoner,dialectical,amount,0.006947013073315725
reasoner,dialectical,amount,0.016398521181971933
reasoner,dialectical,amount,0.012749084251480497
reasoner,dialectical,amount,0.005549130525522066
reasoner,dialectical,amount,0.011197823654080365
reasoner,dialectical,amount,0.015450237326100397
reasoner,dialectical,amount,0.01131928816254096
reasoner,dialectical,amount,0.008246750007030432
reasoner,dialectical,amount,0.016151680829817237
reasoner,dialectical,amount,0.01706035661335337
reasoner,dialectical,amount,0.014147103281241311
reasoner,dialectical,amount,0.005538832769473377
reasoner,dialectical,amount,0.004984435594045217
reasoner,dialectical,amount,0.01103367574048764
reasoner,dialectical,amount,0.004380472208942055
reasoner,dialectical,amount,0.009504983788506045
reasoner,dialectical,amount,0.010993986317950904
reasoner,dialectical,amount,0.020759584579099412
reasoner,dialectical,amount,0.0030426710670088657
reasoner,dialectical,amount,0.009056630645640168
reasoner,dialectical,amount,0.009857795322471417
reasoner,dialectical,amount,0.021977285261676145
reasoner,dialectical,amount,0.0061867808387047465
reasoner,dialectical,amount,0.011496960789563514
reasoner,dialectical,amount,0.010994018640843243
reasoner,dialectical,amount,0.013110818063810231
reasoner,dialectical,amount,0.004982615472589011
reasoner,dialectical,amount,0.010463431890494205
reasoner,dialectical,amount,0.012906058778412137
reasoner,dialectical,amount,0.009984009618704817
reasoner,dialectical,amount,0.021592375618633555
reasoner,dialectical,amount,0.023157860191125926
reasoner,dialectical,amount,0.008297057506613949
reasoner,dialectical,amount,0.014296323193664235
reasoner,dialectical,amount,0.025269289181056972
reasoner,dialectical,amount,0.017300336728016424
reasoner,dialectical,amount,0.00351993791399949
reasoner,dialectical,amount,0.009009882554030952
