domain,full,isolated,full_minus_isolated_auroc
code,0.8560232747431639,0.8607970169610841,-0.004773742217920263
gpqa,0.7382450037514494,0.7337398540345134,0.004505149716936052
idea,0.5886622685324691,0.5896914914183161,-0.0010292228858470587
math,0.6356228006783528,0.6352241799169174,0.0003986207614353754
moral,0.5180509324700197,0.5252033366011581,-0.00715240413113849
planning,0.78799987509628,0.7849012219747278,0.0030986531215522195
safety,0.941729135432284,0.940806067554458,0.0009230678778260337
security,0.7609088904870143,0.7734820937753016,-0.012573203288287371
