split,prefix,feature_set,feature,coef
random_trace,0.75,counts,task_type=math,-0.604659242459096
random_trace,0.75,counts,gen_model=reasoner,0.4754816353157918
random_trace,0.75,counts,gen_model=qwen35_27b,0.4114444165715998
random_trace,0.75,counts,gen_model=qwen35_9b,0.36030089172712465
random_trace,0.75,counts,gen_model=qwen35_4b,0.33244219429505284
random_trace,0.75,counts,task_type=idea,0.3087145258785115
random_trace,0.75,counts,rate_Conflict_of_Perspectives,-0.294829986721039
random_trace,0.75,counts,difficulty_raw=__missing__,0.2838982871498144
random_trace,0.75,counts,task_type=gpqa,0.27978909905561966
random_trace,0.75,counts,difficulty_raw=hard,-0.25512795990510784
random_trace,0.75,counts,difficulty_raw=Physics,0.23581115749135464
random_trace,0.75,counts,difficulty_raw=easy,0.162593003001873
random_trace,0.75,counts,task_type=planning,0.1521507786083675
random_trace,0.75,counts,rate_backtracking,-0.12846216138766844
random_trace,0.75,counts,difficulty_raw=progression_mcq,0.10482881750817842
random_trace,0.75,counts,difficulty_raw=4,0.10281337679713087
random_trace,0.75,counts,difficulty_raw=Chemistry,0.1024667942527667
random_trace,0.75,counts,difficulty_raw=landmarks_mcq,0.09581381934683499
random_trace,0.75,counts,rate_verification,0.09250666694275889
random_trace,0.75,counts,difficulty_raw=Biology,0.08949227032811248
random_trace,0.75,temporal,task_type=math,-0.5931088095394235
random_trace,0.75,temporal,rate_Question_and_Answering,0.4911008095588931
random_trace,0.75,temporal,gen_model=reasoner,0.46336793885136235
random_trace,0.75,temporal,gen_model=qwen35_27b,0.38903820640754005
random_trace,0.75,temporal,rate_Reconciliation,0.360297954484418
random_trace,0.75,temporal,gen_model=qwen35_9b,0.3352553269177545
