split,prefix,feature_set,feature,coef
prompt_disjoint,0.5,length,difficulty_raw=3,0.0712388880177096
prompt_disjoint,0.5,counts,task_type=math,-0.5725735408659219
prompt_disjoint,0.5,counts,gen_model=reasoner,0.4401733219327108
prompt_disjoint,0.5,counts,gen_model=qwen35_27b,0.4277962443377056
prompt_disjoint,0.5,counts,gen_model=qwen35_9b,0.37361855059717236
prompt_disjoint,0.5,counts,gen_model=qwen35_4b,0.3464918547588137
prompt_disjoint,0.5,counts,task_type=idea,0.3067719817152654
prompt_disjoint,0.5,counts,difficulty_raw=__missing__,0.2754803027345201
prompt_disjoint,0.5,counts,task_type=gpqa,0.2651293245256374
prompt_disjoint,0.5,counts,difficulty_raw=hard,-0.259489724844942
prompt_disjoint,0.5,counts,rate_Conflict_of_Perspectives,-0.24009219493647083
prompt_disjoint,0.5,counts,difficulty_raw=Physics,0.22401339634199097
prompt_disjoint,0.5,counts,difficulty_raw=easy,0.15995864726776407
prompt_disjoint,0.5,counts,task_type=planning,0.14610454258899
prompt_disjoint,0.5,counts,rate_backtracking,-0.12267874429924387
prompt_disjoint,0.5,counts,prefix_segments,-0.10237481386105607
prompt_disjoint,0.5,counts,difficulty_raw=progression_mcq,0.10151799328659897
prompt_disjoint,0.5,counts,difficulty_raw=4,0.09578917707290305
prompt_disjoint,0.5,counts,difficulty_raw=Chemistry,0.09530157522993586
prompt_disjoint,0.5,counts,difficulty_raw=landmarks_mcq,0.08880479324736326
prompt_disjoint,0.5,counts,difficulty_raw=Biology,0.08651369654241507
prompt_disjoint,0.5,temporal,rate_backtracking,0.6035611241143037
prompt_disjoint,0.5,temporal,rate_backward_chaining,0.5669245546906932
prompt_disjoint,0.5,temporal,task_type=math,-0.565646315613636
prompt_disjoint,0.5,temporal,gen_model=reasoner,0.453959410073989
prompt_disjoint,0.5,temporal,gen_model=qwen35_27b,0.42208122838552525
prompt_disjoint,0.5,temporal,gen_model=qwen35_9b,0.3640619969868849
prompt_disjoint,0.5,temporal,gen_model=qwen35_4b,0.3361343435274411
prompt_disjoint,0.5,temporal,rate_Perspective_Shift,0.32366074044396953
prompt_disjoint,0.5,temporal,task_type=idea,0.30393289203923074
prompt_disjoint,0.5,temporal,bin3_backtracking,-0.30079770002997747
prompt_disjoint,0.5,temporal,difficulty_raw=__missing__,0.2715596574656382
