split,prefix,feature_set,feature_label,n,positive_rate,folds,auroc,auroc_ci_low,auroc_ci_high,auprc,log_loss,brier,ece
prompt_disjoint,0.25,metadata,Metadata,10364,0.46101891161713626,5,0.7351686075500897,0.7236008440272521,0.7446190877929588,0.6715054232795267,0.6036010923477345,0.20735298526789794,0.06162932022073624
prompt_disjoint,0.25,length,Metadata + length,10364,0.46101891161713626,5,0.7400337236081893,0.7302547651255822,0.7500366881788977,0.6817960809505628,0.602298667210672,0.2064985270931729,0.07473112001903226
prompt_disjoint,0.25,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7414240243915415,0.7319745535749494,0.7525438587993849,0.6778975497908792,0.599468676805293,0.20573888897937942,0.04266471246071454
prompt_disjoint,0.25,temporal,Metadata + length + temporal bins,10364,0.46101891161713626,5,0.7391639191862333,0.7269773636206777,0.7485580891487763,0.6701835013470141,0.6009450116762215,0.20643374247732554,0.03105323835660375
prompt_disjoint,0.25,time_shuffled,Counts repeated across time,10364,0.46101891161713626,5,0.7414222259589655,0.7313706122212451,0.756768542057729,0.6778929630322189,0.5994697878881254,0.2057394825125022,0.042662988175422946
random_trace,0.25,metadata,Metadata,10364,0.46101891161713626,5,0.7359178982557751,0.7239491823511539,0.7459803545825608,0.669934363789348,0.6032701370525954,0.20719461647376505,0.06529617082213189
random_trace,0.25,length,Metadata + length,10364,0.46101891161713626,5,0.7405789109501614,0.7288087451650561,0.7477894682359795,0.6816816877053992,0.6020579253341283,0.20636358834621268,0.07265053486436282
random_trace,0.25,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7423114009984598,0.7336564138008208,0.7517313144220016,0.6788067207988466,0.5987480604312114,0.20539692014245003,0.037393942318122986
random_trace,0.25,temporal,Metadata + length + temporal bins,10364,0.46101891161713626,5,0.7401615434568002,0.7310708363866613,0.7511282859312429,0.6712774131969368,0.6002731143947305,0.2060375966519818,0.03379135011135196
random_trace,0.25,time_shuffled,Counts repeated across time,10364,0.46101891161713626,5,0.7423097899026104,0.7331819188097888,0.7499818783837414,0.6788011793846903,0.598748719700642,0.20539733837794366,0.03746826992828181
prompt_disjoint,0.5,metadata,Metadata,10364,0.46101891161713626,5,0.7351686075500897,0.7234556490958638,0.74309804102197,0.6715054232795267,0.6036010923477345,0.20735298526789794,0.06162932022073624
prompt_disjoint,0.5,length,Metadata + length,10364,0.46101891161713626,5,0.7400346602918226,0.729445767428176,0.7483760284741219,0.6818205548121085,0.6022990030485059,0.20649855900840822,0.07477020655808025
prompt_disjoint,0.5,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7435556540696956,0.730762704987108,0.7541556647038559,0.6765850171055258,0.5962226335663788,0.20462693130965187,0.02735727135815371
prompt_disjoint,0.5,temporal,Metadata + length + temporal bins,10364,0.46101891161713626,5,0.7422771933121688,0.7329274706840437,0.752201229108449,0.6702933142675992,0.5966995963547923,0.2049075293207005,0.01714652316997217
prompt_disjoint,0.5,time_shuffled,Counts repeated across time,10364,0.46101891161713626,5,0.7435516450637447,0.7341078524233694,0.7540064731103095,0.6765757975512132,0.596223698600621,0.204627494166832,0.02735385304484342
random_trace,0.5,metadata,Metadata,10364,0.46101891161713626,5,0.7359178982557751,0.7271811861882902,0.7461954903601836,0.669934363789348,0.6032701370525954,0.20719461647376505,0.06529617082213189
random_trace,0.5,length,Metadata + length,10364,0.46101891161713626,5,0.7405769251808586,0.7314469536536171,0.7522484775682066,0.6816880197268796,0.6020583247186997,0.2063636602829506,0.0726504548083065
random_trace,0.5,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7440417741417468,0.7336328555888169,0.7538040270172879,0.6771357891504245,0.5958652337072615,0.20440487439333546,0.024295601590070826
random_trace,0.5,temporal,Metadata + length + temporal bins,10364,0.46101891161713626,5,0.7431398040038205,0.7345145379574776,0.7547049559798236,0.6708168480423311,0.5963082208492871,0.20463581264331274,0.01976798518241552
random_trace,0.5,time_shuffled,Counts repeated across time,10364,0.46101891161713626,5,0.7440382147439399,0.7379138768648242,0.7549193520771682,0.6771202668357543,0.595866199412778,0.20440536012521635,0.024370165048223404
prompt_disjoint,0.75,metadata,Metadata,10364,0.46101891161713626,5,0.7351686075500897,0.7245798492194725,0.7452329439339056,0.6715054232795267,0.6036010923477345,0.20735298526789794,0.06162932022073624
prompt_disjoint,0.75,length,Metadata + length,10364,0.46101891161713626,5,0.7400316629041959,0.7311818917581019,0.748529999746275,0.6817714498577757,0.6022992836942433,0.20649866606007483,0.07469328177904579
prompt_disjoint,0.75,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7461988441473834,0.7356256315288144,0.753211073457835,0.6786150821899304,0.5939298953175539,0.20384616294810254,0.019939610795475467
prompt_disjoint,0.75,temporal,Metadata + length + temporal bins,10364,0.46101891161713626,5,0.7442070988030383,0.7315662600599486,0.7544640599229944,0.6737184417336816,0.594895141520469,0.20425409619468843,0.020818412485314217
prompt_disjoint,0.75,time_shuffled,Counts repeated across time,10364,0.46101891161713626,5,0.7461956968903752,0.7364912152293634,0.7545828157251722,0.6786008492983153,0.5939309012498544,0.20384676854614772,0.01990109969334401
random_trace,0.75,metadata,Metadata,10364,0.46101891161713626,5,0.7359178982557751,0.7262377218766691,0.7473243030026504,0.669934363789348,0.6032701370525954,0.20719461647376505,0.06529617082213189
random_trace,0.75,length,Metadata + length,10364,0.46101891161713626,5,0.7405753140850092,0.7274060897198596,0.7477775909178223,0.6816855925475137,0.6020584279227819,0.20636367402902708,0.07259908893036875
random_trace,0.75,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7464617899769456,0.7318459763786995,0.7564664432930869,0.6792538354943338,0.5937047180246858,0.20372163529090248,0.022106794347141426
random_trace,0.75,temporal,Metadata + length + temporal bins,10364,0.46101891161713626,5,0.7448790756416246,0.7373168263327465,0.7537622302854109,0.6734864350505024,0.5945377789199509,0.20403807417972966,0.01731068025869584
random_trace,0.75,time_shuffled,Counts repeated across time,10364,0.46101891161713626,5,0.7464606659565856,0.7351202793614099,0.7607969104581377,0.6792478514663759,0.5937057077149593,0.2037222574897341,0.02210712704119326
prompt_disjoint,1.0,metadata,Metadata,10364,0.46101891161713626,5,0.7351686075500897,0.7247075677873143,0.7437550343101946,0.6715054232795267,0.6036010923477345,0.20735298526789794,0.06162932022073624
prompt_disjoint,1.0,length,Metadata + length,10364,0.46101891161713626,5,0.7400326370551745,0.7306824587721101,0.7508705759807996,0.6817640087439336,0.6022991970065654,0.20649859992408479,0.07465447411914619
prompt_disjoint,1.0,counts,Metadata + length + counts,10364,0.46101891161713626,5,0.7487871632978278,0.737473890344705,0.7597882765450423,0.6783691737283949,0.5908648921894457,0.2026943106478903,0.01920127087320509
