gen_model,model_label,signature_family,n,domains,length_balanced_accuracy,amount_balanced_accuracy,full_balanced_accuracy,length_log_loss,amount_log_loss,full_log_loss,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
reasoner,DeepSeek-R1 Distill 8B,conversational,3297,8,0.36338601350340843,0.4943747674862214,0.5433799487566424,1.7281472266774398,1.316866497641969,1.2241422793035153,0.5933526681926707,0.5523124329217618,0.6308764604310011,0.000999000999000999,0.13377276996719276,0.11257360544274449,0.1552520731563516,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
reasoner,DeepSeek-R1 Distill 8B,cognitive,3297,8,0.36338601350340843,0.5632365279278162,0.5880988607369908,1.7281472266774398,1.2163509210185333,1.1612579662893097,0.7383659921193965,0.6885714458335053,0.7928893690656739,0.000999000999000999,0.07948233257577092,0.06182490198498084,0.0969273908714106,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
gemma4_e4b,Gemma 4 E4B,conversational,3217,8,0.4695118078701909,0.5780170594010801,0.6052815221042296,1.485650277491505,1.1829137278920623,1.0951782144890885,0.4367565188029514,0.39854991155467423,0.47200149723808277,0.000999000999000999,0.12657559009631747,0.10342530630928896,0.14828351256160363,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
gemma4_e4b,Gemma 4 E4B,cognitive,3217,8,0.4695118078701909,0.5487913081673255,0.592603738728264,1.485650277491505,1.2735076606961073,1.1511940487061079,0.3060571012119276,0.2802793144352305,0.3334644156067322,0.000999000999000999,0.17646124145118927,0.15166487405328047,0.1994937598204098,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
gemma4_31b,Gemma 4 31B,conversational,3483,8,0.49563383814418494,0.6269785136703525,0.6527715305336458,1.496524737158418,1.0067723963031394,0.9258834293929559,0.7065632734156719,0.6721278417905302,0.7458556855979523,0.000999000999000999,0.11669811142395313,0.09728685500304313,0.13438802718601486,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
gemma4_31b,Gemma 4 31B,cognitive,3483,8,0.49563383814418494,0.6422169108372514,0.6705884476436568,1.496524737158418,0.927322399513826,0.874858460896671,0.8211853897822586,0.7906586528824275,0.8534740372628774,0.000999000999000999,0.07568946406847243,0.060539648093042644,0.09317435836667891,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
qwen35_4b,Qwen3.5 4B,conversational,2347,8,0.3954175965400976,0.6066004607948642,0.606510337826696,1.529590537611884,1.0357895574150635,1.0039988466560963,0.712404225316062,0.6686417811199313,0.7546727453438451,0.000999000999000999,0.04586430075829719,0.023158898280691897,0.06951302676482725,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
qwen35_4b,Qwen3.5 4B,cognitive,2347,8,0.3954175965400976,0.6489194209524446,0.655614289268145,1.529590537611884,0.8635039117056584,0.8280421971531661,0.9609598719973734,0.917504467102044,1.005523461058569,0.000999000999000999,0.05116043972630094,0.03174695610403139,0.0681490678678756,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
qwen35_9b,Qwen3.5 9B,conversational,2925,8,0.39477194621944445,0.5905421710585679,0.6142593057932079,1.6089375963453738,1.0723238661854977,1.0279916566434246,0.7741699673745815,0.7277071429447716,0.8179120766715136,0.000999000999000999,0.06395785885799891,0.040829022060639875,0.0859704361018349,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
qwen35_9b,Qwen3.5 9B,cognitive,2925,8,0.39477194621944445,0.6539025880864824,0.6609647566528429,1.6089375963453738,0.8606974822043539,0.8366865328939437,1.079482302065441,1.0380004707664074,1.1242835785595016,0.000999000999000999,0.034640477497165034,0.01884945658858962,0.051472955290661274,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
qwen35_27b,Qwen3.5 27B,conversational,3355,8,0.4493350510299705,0.6390813966365652,0.6565513137510544,1.5552190411971525,1.0069365276854265,0.9661354582716561,0.7910044632495034,0.7493648476832148,0.8298933506754148,0.000999000999000999,0.058863500506213105,0.04258438895125784,0.07510308731077768,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
qwen35_27b,Qwen3.5 27B,cognitive,3355,8,0.4493350510299705,0.7042938503529035,0.7154806848742693,1.5552190411971525,0.7691707791737942,0.7262419801426085,1.1340279295204878,1.096376915174634,1.1710195606121083,0.000999000999000999,0.06193316547361046,0.046417765198066216,0.07715930136289988,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True
