gen_model,model_label,task_type,signature_family,high_n,low_n,incomplete_n,n,status,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
reasoner,DeepSeek-R1 Distill 8B,gpqa,conversational,211,227,0,438,estimated,0.5705576549679521,0.6413554084806982,0.6155917907175815,0.033947966078019594,0.00028717149316938604,0.06717349845352649,0.01898101898101898,-0.019910042572393257,-0.0389291488585678,-0.002981082095670525,0.984015984015984,0.18137418137418138,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,gpqa,cognitive,211,227,0,438,estimated,0.5705576549679521,0.6063427772094285,0.5970520074326158,0.002647709739111348,-0.04379479238730733,0.03907998807786164,0.46153846153846156,-0.005466708499828399,-0.03095838073261356,0.020268074496557396,0.7012987012987013,0.8815532293793163,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,idea,conversational,339,154,0,493,estimated,0.5775772899666705,0.5703558977895261,0.5792437650844731,-0.007109520938679811,-0.026412644288796517,0.010721737589426659,0.7902097902097902,-0.0011845818188723175,-0.018876817275653757,0.016117613554581883,0.5384615384615384,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,idea,cognitive,339,154,0,493,estimated,0.5775772899666705,0.577960387694901,0.5792820748572961,-0.0031682434262954758,-0.01823510722345469,0.01453548061429669,0.6393606393606394,-0.007645359478013983,-0.03035602432040693,0.013351939296547094,0.7622377622377622,0.9293040293040293,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,math,conversational,397,101,0,498,estimated,0.5566501234506323,0.6723196249095942,0.6543881088360726,0.02609307917394408,-0.021823916146189344,0.06700276552225493,0.11488511488511488,-0.025327514234176448,-0.050310582834957096,0.001374113403546639,0.981018981018981,0.4403096903096903,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,math,cognitive,397,101,0,498,estimated,0.5566501234506323,0.6060553158590418,0.5842082948849041,-0.007545881737010308,-0.04703997391572183,0.026694016766860118,0.6223776223776224,-0.012875233062358495,-0.028961490828656466,0.005432946139587889,0.9250749250749251,0.9293040293040293,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,moral,conversational,253,247,0,500,estimated,0.614328463298715,0.6230817237682226,0.5949016658398809,0.004267462129617449,-0.01405199235163892,0.020309392267095397,0.3046953046953047,-0.02643265904843298,-0.04009697849288239,-0.013268061547900256,1.0,0.7486798915370344,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,moral,cognitive,253,247,0,500,estimated,0.614328463298715,0.6060392696548303,0.607607495479349,-0.02652961257216279,-0.06342959821368883,0.0027016954287387485,0.9460539460539461,-0.00397818545417633,-0.02611515194086153,0.01667902869224649,0.6383616383616384,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,planning,conversational,274,138,16,412,estimated,0.5338252406643393,0.5740505659578969,0.5842589654078071,0.01582735845528822,-0.008934327621227936,0.04266136273267867,0.12187812187812187,-0.011056250919855747,-0.04207528891317516,0.019923525658169093,0.7572427572427572,0.4403096903096903,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,planning,cognitive,274,138,16,412,estimated,0.5338252406643393,0.6156775626785148,0.6161007087697027,0.02107216681919438,-0.01191264552955191,0.05106664174581978,0.08291708291708291,-0.008034100124448289,-0.032274781354874264,0.017369710048487818,0.7162837162837162,0.39339607760660394,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,safety,conversational,185,127,0,312,estimated,0.7590976803575229,0.7493083634815918,0.7419450947010002,-0.012016567249488103,-0.03244230837701074,0.0078841664786686,0.8731268731268731,-0.01142201850352755,-0.04952616049793016,0.02344493256346498,0.7382617382617382,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,safety,cognitive,185,127,0,312,estimated,0.7590976803575229,0.7707597361140668,0.7916152372845287,0.016414719268641232,-0.025585707071995353,0.057248861015184664,0.22777222777222778,0.01769058614730044,-0.032767344033782696,0.06437405929783899,0.24975024975024976,0.6121378621378621,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,security,conversational,132,203,1,335,estimated,0.6465890431407673,0.6184505150022391,0.581765935214211,-0.009784394946714566,-0.026656899170290398,0.005790909314313741,0.8721278721278721,-0.03168039224012515,-0.05831525470253091,-0.004469948935249894,0.994005994005994,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,security,cognitive,132,203,1,335,estimated,0.6465890431407673,0.6434169278996865,0.6424093148231079,0.00893945493504041,-0.013527662943097617,0.030832588206370144,0.2177822177822178,-0.012777420337291207,-0.04718584481861969,0.017535530073848567,0.7982017982017982,0.6041700235248623,1.0,False,False
